"date","shannon_H","simpson_D","simpson_invD","richness","pielou_even"
2009-01-15,2.24688800653522,0.833828448627922,6.01787725842962,41,0.605047637739605
2009-08-23,1.58890514601811,0.638748703484628,2.76815615513631,46,0.41500495383954
2011-06-26,2.17171328670787,0.845058823585959,6.45406226507376,38,0.59702043920005
2012-06-13,2.50245850475771,0.863197252799393,7.30979472607816,53,0.630295847067532
2012-08-03,1.04130052105391,0.367525563660334,1.58109157073181,31,0.303233663682225
2012-08-28,1.17124811387435,0.526285292169703,2.11097519977834,30,0.344363464522591
2012-10-24,1.16636104539899,0.572412343883089,2.33870175084423,51,0.296646177717404
2013-05-05,2.63499157844764,0.882349274632061,8.49973510042221,67,0.626678765124406
2013-06-13,1.6852264206377,0.685875136170492,3.18344746037917,29,0.500468775457864
2013-08-13,0.436473137144607,0.150861915085837,1.1776647612044,47,0.113365299800648
2013-09-23,0.846365562996915,0.336256000856982,1.50660495807289,39,0.231022607164548
2014-05-20,1.91295495716627,0.611555426810071,2.5743698561366,90,0.425119082209064
2014-06-16,1.66545575649219,0.681286945405681,3.13761857440346,44,0.44010895795614
2014-07-14,0.772473918713246,0.342705689428433,1.52138849205986,39,0.210853260659425
2014-08-14,0.994961351209226,0.372563956542134,1.59378794129979,52,0.251809663506769
2014-09-15,1.64626067040236,0.662651072240158,2.96428984268744,55,0.410812027427376
2014-10-15,1.91602259363952,0.731503707726016,3.72444621685712,60,0.467968087326693
2014-11-15,1.85175197313254,0.745491237058702,3.92913779644849,44,0.489339106194628
2015-05-15,1.77198603486989,0.591000633884165,2.44499156440449,74,0.411700565976044
2015-06-15,0.891859471878934,0.316683565892922,1.46345082612677,64,0.214446872874931
2015-07-15,1.48869306236705,0.631582167668092,2.71430943955801,50,0.38054302346929
2015-08-16,1.88923358480647,0.784146998308537,4.6327824591913,37,0.523200369133568
2015-09-15,1.61985111974752,0.681073192971188,3.13551566679579,27,0.491484010163201
2015-10-14,0.6199397931295,0.221545477523694,1.28459655782967,35,0.174368242548324
2015-11-22,1.97579271251263,0.78562973697645,4.66482610925445,47,0.513173238250676
2015-12-15,1.9665489391199,0.756844384264423,4.1125926578947,46,0.51364145540589
2016-01-15,2.54751680974959,0.848437676105622,6.59794581070749,35,0.716530917842789
2016-02-15,2.31382465964597,0.851766330285477,6.74610567171316,23,0.737945759201571
2016-03-15,2.00800980398948,0.804751761406832,5.12168512866159,20,0.670290139648319
2016-04-15,2.3103111647954,0.790830105101417,4.78080270817584,43,0.614248403097631
2016-05-15,1.82802454739502,0.716076317157857,3.52207322048575,56,0.454127909271243
2016-06-15,0.987350042176106,0.526549607142655,2.11215370202747,46,0.257885223484632
2016-07-28,1.43362989988414,0.531500645799116,2.13447466049488,35,0.403231941033519
2016-09-06,2.24664787184862,0.79405813134091,4.85573917781317,43,0.597322078789296
2016-10-19,2.49701109152996,0.836708696682147,6.12402485424137,40,0.676902328360235
2016-11-08,1.69343118478565,0.690642712146263,3.23250829789016,45,0.444859818630211
2017-05-15,2.48798866962596,0.84380298095179,6.40217083586818,37,0.689018340991319
2017-06-13,1.90518819977466,0.714230556304237,3.49932444514475,40,0.516468001590549
2017-07-11,2.64856221896151,0.89875236294896,9.87677371172517,30,0.77871464715381
2017-11-14,1.98326055329286,0.784755770263017,4.64588528678304,17,0.700003957504131
2017-12-12,1.79737011606834,0.80550304557866,5.1414686825054,9,0.818018392206118
2018-01-15,2.00354375143679,0.8208,5.58035714285714,11,0.835542641984791
2018-02-13,1.70411348621449,0.655272649951639,2.90084323120783,24,0.536212908019848
2018-03-20,2.09213619694828,0.763430048836541,4.22707953855495,22,0.676838389804464
2018-04-17,1.02986967813664,0.504143705412448,2.01671333189748,7,0.529248320451287
2018-05-15,1.93964427324392,0.708557636331526,3.43121016249214,31,0.564837361860446
2018-06-12,0.585687188574634,0.244966243952363,1.32444409536692,12,0.235697863589605
2018-07-17,1.23529580645411,0.537139973884332,2.1604803689617,18,0.427383018492146
2018-08-14,0.427119127086473,0.150999306630823,1.17785533958941,30,0.12557904736412
2018-09-11,0.994520864330354,0.544017311739206,2.19306571443358,16,0.358697579757502
2018-10-16,2.11783830017295,0.819884659746251,5.55199795081967,22,0.685153417376065
2018-11-13,0.868915589384118,0.445359168241966,1.8029685929006,6,0.484951024011316
2018-12-18,0.515713530574363,0.30574046518913,1.44038353073886,3,0.469422685231004
2019-01-15,1.2735295771482,0.635625,2.74442538593482,6,0.710770390233727
2019-02-12,1.8974962800581,0.805785123966942,5.14893617021277,10,0.824072163861179
2019-03-13,1.34092094557625,0.613877551020408,2.58985200845666,9,0.610279422234527
2019-04-16,1.4798082012921,0.695335331479841,3.28229723800032,8,0.711637317823642
2019-05-14,1.58626991070693,0.690638137430484,3.23246049688911,17,0.559883679086418
2019-06-11,1.59460327898666,0.758609578210332,4.14266644295993,20,0.532291651381417
2019-07-16,1.985252560159,0.773640110713663,4.41774381120605,34,0.562974927350937
2019-08-13,1.65192309436435,0.756261957661067,4.10276537221644,29,0.490578546634847
2019-09-17,1.45442846474181,0.718677955928211,3.55464500942136,32,0.419659346682153
2019-10-15,1.52345760657739,0.653158195551259,2.88315879796949,25,0.473288716143553
2019-11-12,1.1242576360546,0.526730337074566,2.1129602810767,22,0.363714718584058
2019-12-17,1.51595449596695,0.735982805298944,3.78763209393346,10,0.658370672414872
2020-01-14,1.32459465335513,0.547558556934223,2.21023077201753,13,0.516421366956751
2020-02-11,0.782245803777207,0.311071555713777,1.45152955766846,15,0.288859417546552
2020-03-17,2.12734002303209,0.848078581546162,6.58235033728211,14,0.806098450063695
2020-04-14,1.76570425949031,0.76777565575987,4.30618074634741,18,0.610891749362901
2020-05-12,1.32833243597218,0.505234019418624,2.02115755579021,34,0.376686509135865
2020-06-16,0.302563110903713,0.101077667332128,1.11244315961329,27,0.0918016040249353
2020-07-14,0.473980239499396,0.213340175659382,1.27119749739121,23,0.151166038543924
2020-08-11,0.703172993751899,0.381018905574964,1.61555822787914,22,0.227487329715554
2020-09-15,1.05197919532474,0.547347653937833,2.20920096559637,15,0.388463697939047
